ts,cwnd,rtx,txq,if,rcvd
13.960000,3,0,401,3,2
13.980000,3,0,398,3,2
14.000000,3,0,395,3,2
14.020000,3,0,392,3,2
14.040000,3,0,389,3,2
14.060000,3,0,387,3,2
14.080000,3,0,384,3,2
14.100000,3,0,381,3,2
14.120000,3,0,378,3,2
14.140000,3,0,376,3,2
14.160000,3,0,373,3,2
14.180000,3,0,370,3,2
14.200000,3,0,367,3,2
14.220000,3,0,364,3,2
14.240000,3,0,362,3,2
14.260000,3,0,359,3,2
14.280000,3,0,356,3,2
14.300000,3,0,353,3,2
14.320000,3,0,351,3,2
14.340000,3,0,348,3,2
14.360000,3,0,345,3,2
14.380000,3,0,342,3,2
14.400000,3,0,339,3,2
14.420000,3,0,337,3,2
14.440000,3,0,334,3,2
14.460000,3,0,331,3,2
14.480000,3,0,328,3,2
14.500000,3,0,326,3,2
14.520000,3,0,323,3,2
14.540000,3,0,320,3,2
14.560000,3,0,317,3,2
14.580000,3,0,314,3,2
14.600000,3,0,312,3,2
14.620000,3,0,309,3,2
14.640000,3,0,306,3,2
14.660000,3,0,303,3,2
14.680000,3,0,301,3,2
14.700000,3,0,298,3,2
14.720000,3,0,295,3,2
14.740000,3,0,292,3,2
14.760000,3,0,289,3,2
14.780000,3,0,287,3,2
14.800000,3,0,284,3,2
14.820000,3,0,281,3,2
14.840000,3,0,278,3,2
14.860000,3,0,276,3,2
14.880000,3,0,273,3,2
14.900000,3,0,270,3,2
14.920000,3,0,267,3,2
14.940000,3,0,264,3,2
14.960000,3,0,262,3,2
14.980000,3,0,259,3,2
15.000000,3,0,256,3,2
15.020000,3,0,253,3,2
15.040000,3,0,251,3,2
15.060000,3,0,248,3,2
15.080000,3,0,245,3,2
15.100000,3,0,242,3,2
15.120000,3,0,239,3,2
15.140000,3,0,237,3,2
15.160000,3,0,234,3,2
15.180000,3,0,231,3,2
15.200000,3,0,228,3,2
15.220000,3,0,226,3,2
15.240000,3,0,223,3,2
15.260000,3,0,220,3,2
15.280000,3,0,217,3,2
15.300000,3,0,214,3,2
15.320000,3,0,212,3,2
15.340000,3,0,209,3,2
15.360000,3,0,206,3,2
15.380000,3,0,203,3,2
15.400000,3,0,201,3,2
15.420000,3,0,198,3,2
15.440000,3,0,195,3,2
15.460000,3,0,192,3,2
15.480000,3,0,189,3,2
15.500000,3,0,187,3,2
15.520000,3,0,184,3,2
15.540000,3,0,181,3,2
15.560000,3,0,178,3,2
15.580000,3,0,176,3,2
15.600000,3,0,173,3,2
15.620000,3,0,170,3,2
15.640000,3,0,167,3,2
15.660000,3,0,164,3,2
15.680000,3,0,162,3,2
15.700000,3,0,159,3,2
15.720000,3,0,156,3,2
15.740000,3,0,153,3,2
15.760000,3,0,151,3,2
15.780000,3,0,148,3,2
15.800000,3,0,145,3,2
15.820000,3,0,142,3,2
15.840000,3,0,139,3,2
15.860000,3,0,137,3,2
15.880000,3,0,134,3,2
15.900000,3,0,131,3,2
15.920000,3,0,128,3,2
15.940000,3,0,126,3,2
15.960000,3,0,123,3,2
15.980000,3,0,120,3,2
16.000000,3,0,117,3,2
16.020000,3,0,114,3,2
16.040000,3,0,112,3,2
16.060000,3,0,109,3,2
16.080000,3,0,106,3,2
16.100000,3,0,103,3,2
16.120000,3,0,101,3,2
16.140000,3,0,98,3,2
16.160000,3,0,95,3,2
16.180000,3,0,92,3,2
16.200000,3,0,89,3,2
16.220000,3,0,87,3,2
16.240000,3,0,84,3,2
16.260000,3,0,81,3,2
16.280000,3,0,78,3,2
16.300000,3,0,76,3,2
16.320000,3,0,73,3,2
16.340000,3,0,70,3,2
16.360000,3,0,67,3,2
16.380000,3,0,64,3,2
16.400000,3,0,62,3,2
16.420000,3,0,59,3,2
16.440000,3,0,56,3,2
16.460000,3,0,53,3,2
16.480000,3,0,51,3,2
16.500000,3,0,48,3,2
16.520000,3,0,45,3,2
16.540000,3,0,42,3,2
16.560000,3,0,39,3,2
16.580000,3,0,37,3,2
16.600000,3,0,34,3,2
16.620000,3,0,31,3,2
16.640000,3,0,28,3,2
16.660000,3,0,26,3,2
16.680000,3,0,23,3,2
16.700000,3,0,20,3,2
16.720000,3,0,17,3,2
16.740000,3,0,14,3,2
16.760000,3,0,12,3,2
16.780000,3,0,9,3,2
16.800000,3,0,6,3,2
16.820000,3,0,3,3,2
16.840000,3,0,1,3,2
16.860000,3,0,0,3,2
16.880000,3,0,0,3,2
16.900000,3,0,0,3,2
16.920000,3,0,0,3,2
16.940000,3,0,0,3,2
16.960000,3,0,0,3,3
16.980000,3,0,0,3,3
17.000000,3,0,0,3,3
17.020000,3,0,0,3,3
17.040000,3,0,0,3,3
17.060000,3,0,0,3,3
17.080000,3,0,0,3,3
17.100000,3,0,0,3,3
17.120000,3,0,0,3,3
17.140000,3,0,0,3,3
17.160000,3,0,0,3,3
17.180000,3,0,0,3,3
17.200000,3,0,0,3,3
17.220000,3,0,0,3,3
17.240000,3,0,0,3,3
17.260000,3,0,0,3,3
17.280000,3,0,0,3,3
17.300000,3,0,0,3,3
17.320000,3,0,0,3,3
17.340000,3,0,0,3,3
17.360000,3,0,0,3,3
17.380000,3,0,0,3,3
17.400000,3,0,0,3,3
17.420000,3,0,0,3,3
17.440000,3,0,0,3,3
17.460000,3,0,0,3,3
17.480000,3,0,0,3,3
17.500000,3,0,0,3,3
17.520000,3,0,0,3,3
17.540000,3,0,0,3,3
17.560000,3,0,0,3,3
17.580000,3,0,0,3,3
17.600000,3,0,0,3,3
17.620000,3,0,0,3,3
17.640000,3,0,4,3,4
17.660000,3,0,2,3,4
17.680000,3,0,0,3,4
17.700000,3,0,0,3,4
17.720000,3,0,0,3,4
17.740000,3,0,0,3,4
17.760000,3,0,0,3,4
17.780000,3,0,0,3,4
17.800000,3,0,0,3,4
17.820000,3,0,0,3,4
17.840000,3,0,0,3,4
17.860000,3,0,0,3,4
17.880000,3,0,0,3,4
17.900000,3,0,0,3,4
17.920000,3,0,0,3,4
17.940000,3,0,0,3,4
17.960000,3,0,0,3,4
17.980000,3,0,0,3,4
18.000000,3,0,0,3,4
18.020000,3,0,0,3,4
18.040000,3,0,0,3,4
18.060000,3,0,0,3,4
18.080000,3,0,0,3,4
